track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
It's A Vibe,2 Chainz,2017-06-16,116560024,39,41,atl hip hop hip hop pop pop rap rap southern hip hop trap music,86,4485183,6
It's A Vibe,2 Chainz,2017-06-16,116560024,44,41,atl hip hop hip hop pop pop rap rap southern hip hop trap music,86,4485183,6
It's Beginning to Look a Lot Like Christmas,Michael Bublé,2012-11-09,34479446,39,19,adult standards canadian pop lounge,78,3106542,11
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,1999-08-20,21954734,39,37,adult standards brill building pop christmas easy listening lounge vocal jazz,57,164076,8
It's Gotta Be You,Isaiah,2016-12-09,14385124,39,110,hip hop pop rap rap southern hip hop underground hip hop,68,521559,12
It's Not Living (If It's Not With You),The 1975,2018-11-30,1692266,39,195,modern alternative rock nu gaze pop shiver pop,82,3087245,11
It's the Most Wonderful Time of the Year,Andy Williams,1963-01-01,47141662,39,14,adult standards brill building pop christmas easy listening lounge mellow gold operatic pop vocal jazz,61,191719,1
I’ll Make It Up To You,Imagine Dragons,2017-06-23,1355073,39,151,modern rock rock,91,18576755,6
Jackie Chan,Tiësto,2018-05-18,87080408,52,18,big room brostep dance pop edm electro house house pop trance tropical house,82,4315600,5
Jaded,Drake,2018-06-29,16607825,32,19,canadian hip hop canadian pop hip hop pop rap rap,97,36572151,6
Jet Lag (feat. Young Scooter),Future,2018-10-19,5738169,72,40,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,10
Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,1983-11-01,6498808,8,100,album rock folk rock mellow gold rock soft rock yacht rock,75,811015,11
Jingle Bells - Remastered 1999,Frank Sinatra,1957-09-01,1834792,49,193,adult standards christmas easy listening lounge,78,2906133,9
Jocelyn Flores,XXXTENTACION,2017-08-25,345877494,19,3,emo rap miami hip hop,94,12748616,8
Jonestown (Interlude),Post Malone,2018-04-27,13397528,73,25,pop rap,96,13676403,4
Jorja Interlude,Drake,2017-03-18,18389652,49,15,canadian hip hop canadian pop hip hop pop rap rap,97,36572151,3
Juice,Lizzo,2019-04-19,6601650,90,71,dance pop escape room minnesota hip hop pop trap queen,84,334762,4
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,2016-09-30,9907305,11,60,,52,60144,9
Jump Out The Window,Big Sean,2017-02-03,22926953,76,28,detroit hip hop hip hop pop pop rap r&b rap southern hip hop trap music,84,6064850,2
Jumpsuit,Twenty One Pilots,2018-10-05,8973474,50,51,pop punk rock,88,12813391,10
Just Hold On,Steve Aoki,2016-12-12,30705935,96,36,big room dance pop edm electro house pop tropical house,82,3074287,12
KEKE,6ix9ine,2018-04-10,30679563,43,47,emo rap,87,3900895,4
KIKA (feat. Tory Lanez),6ix9ine,2018-11-27,56124271,44,9,emo rap,87,3900895,11
KMT,Drake,2017-03-18,20497397,48,17,canadian hip hop canadian pop hip hop pop rap rap,97,36572151,3
KOD,J. Cole,2018-04-20,81539667,10,2,conscious hip hop hip hop nc hip hop pop rap rap,90,8232406,4
Kamikaze,Lil Mosey,2018-10-19,61686726,16,10,rap conscient trap music vapor trap,79,649839,10
Keanu Reeves,Logic,2019-01-18,46755302,38,13,conscious hip hop dmv rap hip hop pop rap rap,90,3630304,1
Kelly Price (feat. Travis Scott),Migos,2017-01-27,25109057,58,21,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Kill This Love,BLACKPINK,2019-04-05,16334250,41,30,k-pop,88,6727274,4
Killshot,Eminem,2018-09-19,28769269,3,22,detroit hip hop g funk hip hop rap,94,26562330,9
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2018-01-12,143963758,21,7,conscious hip hop gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,571173,1
"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Andres Espinosa,2017-06-30,29631471,87,36,,0,2,6
La Modelo,Ozuna,2018-08-24,12076363,52,117,reggaeton trap latino,95,16444695,8
Last Christmas,Wham!,1984-01-01,43875505,25,16,dance pop dance rock disco europop motown new romantic new wave new wave pop soft rock,70,756547,1
Last Hurrah,Bebe Rexha,2019-02-15,16726616,98,63,dance pop electropop pop post-teen pop,87,3562068,2
Last Memory,Takeoff,2018-10-26,12044259,54,46,atl hip hop pop rap rap southern hip hop trap music,71,410747,10
Last Time That I Checc'd (feat. YG),Nipsey Hussle,2018-02-16,5752397,76,122,conscious hip hop hip hop pop rap rap southern hip hop trap music,84,871930,2
Lean Wit Me,Juice WRLD,2018-12-10,134160309,68,28,chicago rap,93,4166463,12
Learn To Let Go,Welshly Arms,2019-01-11,4331187,97,107,modern alternative rock modern blues rock modern hard rock modern rock,65,94457,1
Leave Me Alone,Flipp Dinero,2018-09-04,162213891,20,10,rap trap music underground hip hop vapor trap,74,309719,9
Legacy,Offset,2019-02-22,1517957,49,200,atl hip hop pop pop rap rap trap music,90,1099110,2
Legacy (feat. Travis Scott & 21 Savage),Offset,2019-02-22,28740763,49,19,atl hip hop pop pop rap rap trap music,90,1099110,2
Legends,Juice WRLD,2018-06-22,60753264,65,68,chicago rap,93,4166463,6
Lemon,N.E.R.D,2017-12-15,15077540,36,101,hip hop pop pop rap rap,65,451550,12
Lemon - Drake Remix,N.E.R.D,2018-03-18,23502024,36,29,hip hop pop pop rap rap,65,451550,3
Lemon - Edit,N.E.R.D,2017-12-06,2708278,36,183,hip hop pop pop rap rap,65,451550,12
Let It All Work Out,Lil Wayne,2018-09-28,6634076,75,38,hip hop new orleans rap pop pop rap rap trap music,91,7813747,9
Let It Fly (feat. Travis Scott),Lil Wayne,2018-09-28,25396899,10,3,hip hop new orleans rap pop pop rap rap trap music,91,7813747,9
Let Me,Alec Benjamin,2018-11-16,14116094,73,40,pop,82,520464,11
Let Me Down Slowly,Alec Benjamin,2018-11-16,49767627,73,41,pop,82,520464,11
Let Me Down Slowly,Alec Benjamin,2018-11-16,49767627,79,41,pop,82,520464,11
Let Me Explain,Bryson Tiller,2016-10-20,7405571,73,127,hip hop pop pop rap r&b rap trap music,80,3361954,10
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,129066552,40,19,dance pop pop post-teen pop,83,4135730,9
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,129066552,73,19,dance pop pop post-teen pop,83,4135730,9
Let Me Love You,Mario,2004-09-21,45082279,8,12,dance pop deep pop r&b hip pop pop pop rap post-teen pop r&b rap urban contemporary,72,1413047,9
Let Me Love You,Mario,2004-09-21,45082279,73,12,dance pop deep pop r&b hip pop pop pop rap post-teen pop r&b rap urban contemporary,72,1413047,9
